popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
73,6,6,9,9,2,0,0,0,1,6,6,1,4
79,4,4,0,8,2,1,8,0,1,6,3,1,4
77,8,5,4,9,2,0,1,0,0,7,5,1,4
75,5,5,5,9,2,0,0,0,1,3,6,1,4
81,7,6,0,10,2,0,5,0,3,6,4,1,4
81,8,6,8,9,2,1,0,0,2,8,4,1,4
90,7,6,0,10,2,1,0,0,1,5,7,1,4
87,7,7,0,9,2,3,1,0,1,6,8,1,4
76,9,6,9,9,2,2,0,0,0,8,3,1,4
68,7,6,5,9,1,1,1,0,3,1,5,1,4
86,8,6,9,10,1,1,3,0,0,5,4,1,4
76,6,8,4,9,1,4,0,0,0,7,3,1,4
77,6,7,5,9,1,1,2,0,1,5,7,1,4
82,7,6,9,9,2,0,0,0,1,6,3,1,4
85,7,9,0,10,2,0,0,0,1,6,5,1,4
82,7,8,4,9,1,0,1,0,3,9,6,1,4
81,8,4,4,7,1,0,7,4,0,5,5,1,4
75,9,5,0,9,1,2,0,0,1,7,6,1,4
88,7,8,7,10,1,0,1,0,0,6,4,1,4
74,5,8,8,10,2,0,0,0,1,6,6,1,4
75,5,6,6,9,2,3,8,0,0,3,4,1,4
76,7,5,5,9,1,1,0,0,1,3,3,1,4
78,7,7,0,10,2,2,2,0,1,4,7,1,4
75,5,5,6,9,2,0,0,0,1,4,6,1,4
76,5,5,9,9,1,1,2,0,2,3,6,1,4
74,9,5,9,9,2,3,0,0,1,7,5,1,4
75,4,5,5,9,2,0,3,0,1,3,5,1,4
75,7,4,0,9,2,1,0,0,1,2,7,1,4
83,5,8,9,9,1,0,0,0,5,2,4,1,4
77,6,5,1,9,2,0,2,0,1,4,4,1,4
77,8,6,7,9,1,3,0,0,2,8,6,1,4
77,5,5,9,9,1,0,2,0,0,3,3,1,4
78,7,3,9,8,1,2,7,0,1,3,3,1,4
76,8,6,6,9,1,0,1,0,1,7,5,1,4
78,7,7,9,9,1,4,1,0,1,7,6,1,4
74,7,6,9,9,2,0,1,0,1,6,5,1,4
78,7,5,0,9,2,0,0,0,3,5,4,1,4
76,5,6,7,9,2,3,0,0,1,3,6,1,4
75,4,5,8,9,2,0,4,0,1,2,5,1,4
76,4,3,0,8,1,2,6,0,2,4,4,1,4
77,7,3,9,9,1,1,0,0,1,3,5,1,4
75,5,7,0,9,2,0,0,0,1,3,4,1,4
77,8,5,7,9,1,0,0,0,1,4,5,1,4
92,7,8,8,10,2,0,2,0,0,9,6,1,4
75,8,6,0,9,2,1,0,0,2,4,5,1,4
77,9,5,5,9,1,1,0,0,0,7,5,1,4
75,8,6,8,9,2,1,1,0,3,8,5,1,4
75,9,3,0,8,1,3,2,0,0,4,5,1,4
76,7,6,6,9,1,2,4,0,1,5,4,1,4
73,7,6,6,9,2,3,0,0,1,5,7,1,4
76,8,3,6,8,2,0,1,0,0,7,5,1,4
74,9,7,0,10,2,3,0,0,1,9,5,1,4
73,4,7,0,9,1,2,2,0,1,5,3,1,4
75,8,6,5,9,1,3,0,0,0,5,7,1,4
81,7,7,0,9,2,0,1,0,0,6,5,1,4
92,6,7,9,9,1,0,0,0,0,6,5,1,4
75,9,6,9,9,1,3,0,0,0,3,5,1,4
74,4,7,5,10,2,0,0,0,0,4,6,1,4
77,8,7,1,9,2,3,5,0,1,3,5,1,4
78,6,3,6,9,1,0,7,0,2,1,3,1,4
78,7,6,6,9,2,0,5,0,4,5,4,1,4
78,4,8,1,9,2,0,1,0,1,1,6,1,4
77,8,5,8,9,1,3,1,0,0,5,7,1,4
75,5,4,8,9,2,1,6,0,2,1,5,1,3
83,8,5,1,9,2,1,0,0,2,4,4,1,4
78,6,6,1,9,1,2,3,0,1,5,8,1,3
77,6,5,4,9,2,0,4,0,1,5,4,1,4
78,9,6,0,10,2,2,1,0,0,7,4,1,4
78,7,5,2,9,1,1,4,0,0,4,4,1,4
75,8,7,9,9,1,0,0,0,3,4,4,1,4
74,7,6,4,9,1,0,0,0,1,4,6,1,4
74,8,7,0,10,1,1,3,0,0,7,3,1,4
73,8,6,1,9,2,4,0,0,0,6,7,1,4
78,7,7,9,9,1,4,1,0,1,8,6,1,4
89,7,7,0,9,2,0,1,0,1,9,4,1,4
84,8,8,7,10,1,2,1,0,0,6,4,1,4
0,6,9,0,9,1,0,0,0,0,9,6,1,4
0,7,7,3,9,2,0,0,0,2,5,5,1,4
0,7,8,3,9,1,0,0,0,2,7,4,1,4
80,5,4,0,9,2,0,6,0,0,3,6,1,4
60,4,5,6,9,2,0,2,0,2,0,5,1,4
78,7,4,5,9,2,3,4,0,2,4,3,1,4
77,6,4,8,9,1,0,2,0,0,5,3,1,4
77,6,7,9,9,2,0,4,0,1,6,4,1,4
76,7,5,7,9,2,2,1,0,3,8,6,1,4
84,8,8,9,10,2,1,6,0,1,7,4,1,4
59,8,6,1,9,2,0,1,0,0,1,6,1,4
74,9,5,0,9,2,2,1,0,1,6,6,1,4
82,6,8,0,10,1,0,0,0,1,5,4,1,4
73,7,4,7,9,2,4,1,0,3,6,3,1,4
81,7,7,3,9,2,1,2,0,0,6,4,1,4
73,4,4,1,9,2,0,2,0,1,1,5,1,3
75,8,4,0,9,1,1,0,0,2,2,6,1,4
58,6,7,4,9,1,0,1,0,1,3,6,1,4
75,9,4,7,8,2,2,4,0,0,7,5,1,4
58,5,6,7,9,1,3,0,0,0,5,3,1,4
74,8,6,0,9,2,3,1,0,0,3,3,1,4
58,8,6,9,9,2,0,0,0,1,2,6,1,4
78,7,4,7,9,2,0,3,0,1,3,2,1,3
77,8,5,6,9,1,2,1,0,1,5,4,1,4
57,6,6,5,9,2,1,0,0,1,2,6,1,4
86,8,7,3,10,1,0,2,0,1,6,4,1,4
74,7,7,5,9,1,2,0,0,0,5,4,1,4
72,9,5,9,9,1,3,1,0,1,3,6,1,4
74,4,8,0,9,2,0,1,0,1,6,3,1,4
79,7,2,2,8,2,3,7,0,1,4,2,1,4
75,7,3,6,9,2,0,6,0,1,1,4,1,4
75,8,7,0,9,1,3,2,0,1,5,4,1,4
